view_id,fps
0,127.2120678318132
1,127.91630476153298
2,128.55383130999854
3,128.40475240710848
4,128.00355478621995
5,128.2720614095448
6,126.9435959115866
7,128.45190232237928
8,127.84920130522318
9,127.30400049776688
10,127.33855300576442
11,128.78351690460516
12,127.52881124337051
13,127.8911863319417
14,125.88396764470279
15,128.58579367921243
16,127.48249142427804
17,128.26190197329814
18,127.72850675977118
19,128.48928506440234
20,127.79957214317511
21,127.99898438305848
22,128.69697771193728
23,128.02180058738028
24,126.52504570891273
25,128.57775232704572
26,127.81924000299868
27,127.45936349693484
28,128.3208805221553
29,127.95622591270504
30,128.59048493248875
31,127.10397284766205
32,128.31632668669897
33,128.59162823096008
34,128.06475930974617
35,127.97754300316565
36,128.0243014878923
37,127.6492839041172
38,127.927423986453
39,128.55891427390932
40,128.81262653065235
41,128.15726329214408
42,127.65134292018566
43,127.6259789198099
44,127.89746501446747
45,127.92722889567214
46,128.82481218249166
47,128.8679948468828
48,128.48645108402968
49,128.0429440904405
50,128.35001701417195
51,127.99906250686641
52,129.064641497706
53,128.86736134474435
54,126.71927219949255
55,128.32920388423182
56,126.92262184853607
57,127.97945642270558
58,129.02454180227514
59,128.15017598748534
60,128.34078771787514
61,128.92190493052124
62,126.73343912824349
63,127.12030637592152
64,128.53819091165403
65,128.70250641778213
66,128.14285456779058
67,128.9858156639059
68,126.85736235053224
69,128.1353382585794
70,127.43303034989286
71,128.3124404793043
72,128.57637278437184
73,127.89961004728954
74,126.77220377834789
75,128.2183797538471
76,127.91252076445522
77,128.18221214116014
78,128.96737337345772
79,128.3528449791174
80,128.63899441899352
81,126.39415241897377
82,127.88869062937165
83,128.0088678018161
84,127.36883084859635
85,128.44741785504073
86,127.60951519504981
87,127.29835947555905
88,127.86755905290967
89,128.47554929731052
90,128.5179861582005
91,128.96983204080735
92,129.2669884854699
93,127.6111846717034
94,127.65833630085496
95,128.40836902270067
96,127.92129841991743
97,127.84651239631131
98,128.39052378863565
99,128.5185768503158
100,126.7021995164278
101,127.20959856361232
102,127.9256291737134
103,128.5011733996728
104,128.43671933803233
105,128.0593243574141
106,128.07649099514083
107,126.97641540135898
108,128.85152581528627
109,128.40490964702843
110,127.61040816550059
111,128.37170126391356
112,127.38902407763547
113,128.682763220628
114,128.53842726214606
115,128.49082018930343
116,128.48519157732477
117,128.37209416209458
118,126.65487176746232
119,128.37739852294052
120,127.93038943958412
121,129.30325272452788
122,128.55339789756565
123,128.2206139591986
124,128.48841911269156
125,127.11880382419841
126,129.21163510494065
127,129.20876917081645
128,129.1050443046917
129,129.8926156414183
130,129.67379233415696
131,128.1449295376179
132,128.8401662206429
133,130.08659405007072
134,130.0722726419907
135,131.04931208784478
136,129.77124602615967
137,128.8413931186972
138,128.58910511658024
139,129.4092927896727
140,131.0478789997716
141,129.95713026870732
142,128.8792801473923
143,129.80622702868652
144,128.606650695741
145,129.86944948199965
146,130.528024458071
147,129.83017438203584
148,130.45003867497994
149,131.00764249562403
150,129.17554158017603
151,130.3614486290662
152,132.23934279855425
153,131.73640432167107
154,132.92240448518803
155,131.74571464828264
156,132.2428867847728
157,130.28730399689618
158,131.79593033358546
159,130.33175635259116
160,132.1987881080144
161,132.75962374205605
162,132.11192729267978
163,131.09010682100464
164,132.1252862664554
165,132.0624685138539
166,132.035279888839
167,131.78081606440642
168,132.49725642520892
169,132.43579902666428
170,131.4006247499606
171,131.49269443927165
172,131.88909415362363
173,132.01915492461225
174,130.08320503770713
175,132.1476404975121
176,131.83594812062523
177,132.3730617304835
178,131.37613575427113
179,131.93149244468574
180,132.13107183169095
181,131.7743573245398
182,133.0745642631538
183,132.32691401866387
184,135.52019634464483
185,135.91402197927542
186,135.65760871147225
187,134.9113666971916
188,134.24874483000553
189,134.23907738286698
190,134.8044833865677
191,134.72407496334222
192,134.1781830059045
193,134.58237085889994
194,133.90988524301255
195,135.09234828496042
196,134.32802742988324
197,134.69716369657505
198,136.07064000472351
199,135.58086890241438
200,135.54349519168935
201,137.21346007701587
202,135.74111249805415
203,137.51708183279868
204,136.39942036073958
205,137.79524532445078
206,137.47629000871538
207,136.5426673047311
208,135.98355606564604
209,135.39744048303103
210,137.6807626580637
211,136.6464491928051
212,138.14698181921185
213,139.05842981456573
214,136.6890663190484
215,138.4222655580927
216,137.52082417332008
217,137.70643798242187
218,138.82650129614967
219,140.35283094632578
220,139.44868234868554
221,138.4967684778578
222,138.8158417309617
223,137.89794844818516
224,138.68686220736183
225,139.1551301357842
226,139.8984092295572
227,139.83395171644236
228,139.6388895084994
229,138.42669692427216
230,139.01966750390613
231,138.91993439373826
232,139.8643074417491
233,140.2227621815128
234,139.74231173137304
235,138.63538330698438
236,137.58600962573018
237,139.7373767391778
238,140.4094946628843
239,140.65221816347807
240,140.68783785778209
241,140.79981523461745
242,141.1123178020103
243,140.3312299672785
244,141.46093529457593
245,141.2627856457235
246,141.26259533860488
247,141.27306299163268
248,140.64467193503853
249,140.79494705634343
250,140.3298214387281
251,140.75880073065773
252,140.93048370193583
253,141.3005241620196
254,141.4426168697045
255,141.83151610080196
256,138.45205710518854
257,141.505463118468
258,142.16784487270223
259,141.82072576246784
260,141.9820805468182
261,142.96060381309715
262,143.12309912415967
